grupo,por_quantos_anos_trabalhou_em_computacao_depois_de_se_formar,COUNT(*)
-1,14,1
-1,15,1
-1,,2
1,25,2
1,30,1
1,33,2
1,34,3
1,35,1
1,36,2
2,0,1
2,3,1
2,16,1
2,20,2
2,23,1
2,25,1
2,29,5
2,30,3
2,32,3
2,34,1
3,4,1
3,22,1
3,23,1
3,24,4
3,25,2
3,26,6
3,27,2
3,29,1
4,0,1
4,1,2
4,2,1
4,6,2
4,8,1
4,9,1
4,10,4
4,11,1
4,14,2
4,15,1
4,16,2
4,17,1
4,18,1
4,19,3
4,20,6
4,21,2
4,22,5
5,2,1
5,6,1
5,8,1
5,10,2
5,12,1
5,14,5
5,15,4
5,16,8
5,17,4
5,18,4
5,19,1
5,,1
6,0,2
6,3,1
6,4,2
6,5,2
6,6,2
6,7,2
6,8,2
6,9,6
6,10,14
6,11,13
6,12,10
6,13,9
6,14,2
6,,1
7,0,6
7,1,1
7,2,1
7,3,7
7,4,9
7,5,9
7,6,7
7,7,4
7,8,4
7,9,1
7,50,1
8,0,2
8,1,4
8,2,7
8,3,10
8,4,1
8,10,1
8,,1
